P-P type	HMM profile ID	Protein representative ID	P-P score	P-P type score	Sequence score threshold	Neff value	geNomad hit	geNomad annotation	pident (geNomad)	evalue (geNomad)	bitscore (geNomad)	PHROGs hit	PHROGs Annotation	Protein category (PHROGs)	evalue (PHROGs)	cov_profile (PHROGs)	Rep/Par hit	evalue (Rep/Par)	cov_profile (Rep/Par)
P1_2	P12_pers_GUU84_RS23055	GUU84_RS23055	0.96	0.923	239.6	1	GENOMAD.176651.VP	NA	0.53	3.704e-23	95	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_GUU84_RS23060	GUU84_RS23060	0.962	0.926	500.5	1.1	GENOMAD.083577.VV	bis(5'-nucleosyl)-tetraphosphatase (symmetrical)	0.242	9.381e-13	70	phrog_246	NinI-like serine-threonine phosphatase	other	2.6e-110	0.542	NA	NA	NA
P1_2	P12_pers_GUU84_RS23065	GUU84_RS23065	0.962	0.962	784.8	1	GENOMAD.214210.VP	Putative nuclease YbcO	0.27	1.822e-11	68	phrog_96	HNH endonuclease	DNA, RNA and nucleotide metabolism	8.7e-106	0.982	NA	NA	NA
P1_2	P12_pers_GUU84_RS23225	GUU84_RS23225	0.962	0.893	222.7	1	GENOMAD.099176.VV	NA	0.313	1.731e-5	44	phrog_5702	Holliday junction resolvase	DNA, RNA and nucleotide metabolism	4.4e-40	1.014	NA	NA	NA
P1_2	P12_pers_GUU84_RS23570	GUU84_RS23570	0.962	0.962	429.5	1.1	GENOMAD.118315.VV	NA	0.922	3.446e-115	365	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_H7R13_RS23660	H7R13_RS23660	0.958	0.958	664.8	1.1	NA	NA	NA	NA	NA	phrog_724	exonuclease recombination-associated	DNA, RNA and nucleotide metabolism	5.7e-128	0.962	NA	NA	NA
P1_2	P12_pers_H7R13_RS23665	H7R13_RS23665	0.958	0.958	489.8	1	GENOMAD.222755.VP	phage baseplate assembly protein V	0.797	3.431e-111	355	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_H7R13_RS23670	H7R13_RS23670	0.962	0.962	714.5	1.1	GENOMAD.223436.VP	Phage protein D	0.59	1.479e-112	365	phrog_1390	tail protein	tail	1.3e-146	0.988	NA	NA	NA
P1_2	P12_pers_H7U15_gp010	H7U15_gp010	0.958	0.92	213.4	1.1	GENOMAD.221862.VP	NA	0.678	8.059e-44	155	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_H7U15_gp083	H7U15_gp083	0.964	0.931	400.5	1.1	GENOMAD.223557.VP	NA	0.873	1.36e-104	334	phrog_1851	PmgC-like head morphogenesis	head and packaging	7.6e-91	1	NA	NA	NA
P1_2	P12_pers_H7U15_gp085	H7U15_gp085	0.958	0.92	590.7	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rep_Rpt-F	1.1e-50	1.047
P1_2	P12_pers_HV246_RS24145	HV246_RS24145	0.96	0.923	412.3	1.1	GENOMAD.222681.VP	Defence against restriction A N-terminal; Inorganic Pyrophosphatase	0.547	7.005e-63	215	phrog_1620	Hdf-like antirestriction	moron, auxiliary metabolic gene and host takeover	5.6e-75	1.02	NA	NA	NA
P1_2	P12_pers_HV246_RS24520	HV246_RS24520	0.962	0.926	547.2	1.1	GENOMAD.223805.VP	NA	0.659	2.323e-108	349	phrog_1767	baseplate protein	tail	1.1e-109	0.973	NA	NA	NA
P1_2	P12_pers_HZF20_RS23180	HZF20_RS23180	0.962	0.926	1021.5	1.1	GENOMAD.143015.VP	putative baseplate assembly protein	0.592	1.104e-171	544	phrog_1369	baseplate protein	tail	2.999999999999999e-196	0.969	NA	NA	NA
P1_2	P12_pers_HZF20_RS23185	HZF20_RS23185	0.96	0.923	258.5	1.1	GENOMAD.223537.VP	Baseplate wedge protein gp25	0.723	2.364e-53	183	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_HZR24_RS23795	HZR24_RS23795	0.955	0.955	496.7	1.1	GENOMAD.177536.VP	NA	0.479	5.345e-58	202	phrog_757	DNA methyltransferase	other	1e-80	0.903	NA	NA	NA
P1_2	P12_pers_HZR24_RS23965	HZR24_RS23965	0.933	0.28	194.2	1	GENOMAD.159890.VP	DNA polymerase III, theta subunit	0.851	2.224e-42	149	phrog_1105	DNA polymerase III theta subunit	DNA, RNA and nucleotide metabolism	9e-45	0.987	NA	NA	NA
P1_2	P12_pers_HZR24_RS24135	HZR24_RS24135	0.96	0.96	742.9	1	GENOMAD.222616.VP	Pyocin large subunit	0.64	8.09e-126	403	phrog_391	replication initiation O-like	DNA, RNA and nucleotide metabolism	8.8e-10	0.661	NA	NA	NA
P1_2	P12_pers_HZR24_RS24150	HZR24_RS24150	0.96	0.923	1005.2	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_HZR24_RS24155	HZR24_RS24155	0.96	0.889	254.8	1.1	GENOMAD.093341.VV	NA	0.785	1.188e-59	201	phrog_1855	DdrA-like anti-restriction protein	moron, auxiliary metabolic gene and host takeover	1.2e-52	1.061	NA	NA	NA
P1_2	P12_pers_HZR25_RS23620	HZR25_RS23620	0.964	0.964	358.6	1.1	GENOMAD.220116.VP	NA	0.65	1.205e-62	212	phrog_1120	tail tube protein	tail	1.3e-74	0.947	NA	NA	NA
P1_2	P12_pers_HZR25_RS23625	HZR25_RS23625	1	1	443.6	1	NA	NA	NA	NA	NA	phrog_1114	PmgG-like head morphogenesis	head and packaging	1.4e-74	0.817	NA	NA	NA
P1_2	P12_pers_HZR25_RS23785	HZR25_RS23785	0.96	0.923	134.8	1.1	GENOMAD.145594.VV	NA	0.985	7.708e-32	117	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_HZR25_RS23940	HZR25_RS23940	0.962	0.962	1178.2	1	GENOMAD.219853.VP	Terminase large subunit, ATPase domain	0.863	3.412e-120	396	phrog_2	terminase large subunit	head and packaging	2.2e-42	0.546	NA	NA	NA
P1_2	P12_pers_HZR25_RS23945	HZR25_RS23945	0.962	0.962	668.6	1.1	GENOMAD.223858.VP	NA	0.269	6.877e-20	94	phrog_1711	terminase	head and packaging	1.3e-132	0.767	NA	NA	NA
P1_2	P12_pers_I6I16_RS26085	I6I16_RS26085	0.962	0.926	271.6	1.1	GENOMAD.223698.VP	NA	0.749	3.865e-59	200	phrog_1704	Lpa-like transcriptional activator	transcription regulation	6.6e-63	0.872	NA	NA	NA
P1_2	P12_pers_I6I16_RS26370	I6I16_RS26370	0.963	0.963	450.9	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	parA_small_nr_90_40_FAM1	6.3e-66	0.986
P1_2	P12_pers_I6I16_RS26450	I6I16_RS26450	1	1	476.9	1	GENOMAD.169104.VV	NA	0.889	4.357e-118	374	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_I6I16_RS26455	I6I16_RS26455	1	1	186.4	1	GENOMAD.226862.VP	NA	1	8.923e-48	164	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_I6K19_RS26455	I6K19_RS26455	0.962	0.962	911.6	1	NA	NA	NA	NA	NA	phrog_1722	tail protein	tail	1.3e-198	0.963	NA	NA	NA
P1_2	P12_pers_I6K19_RS26460	I6K19_RS26460	1	0.923	272.4	1	NA	NA	NA	NA	NA	phrog_1373	transcriptional regulator	transcription regulation	5.4e-46	0.711	NA	NA	NA
P1_2	P12_pers_I6K19_RS26625	I6K19_RS26625	0.957	0.957	653.1	1	GENOMAD.223261.VP	NA	0.719	1.849e-132	420	phrog_2015	tail tube protein	tail	6e-133	1.004	NA	NA	NA
P1_2	P12_pers_I6K19_RS26800	I6K19_RS26800	0.962	0.962	933.1	1	GENOMAD.222678.VP	NA	0.243	1.811e-30	128	phrog_1660	PmgS-like head morphogenesis	head and packaging	2.3e-143	0.99	NA	NA	NA
P1_2	P12_pers_IB009_RS23590	IB009_RS23590	0.889	0.889	515.9	1	GENOMAD.128990.VV	DNA primase, catalytic core	0.517	5.777e-22	97	phrog_643	transcriptional regulator	transcription regulation	3.8e-4	0.893	NA	NA	NA
P1_2	P12_pers_IB009_RS23700	IB009_RS23700	0.95	0.905	206.6	1.1	GENOMAD.124283.VV	Baseplate J-like protein	0.631	1.934e-33	124	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_IB009_RS23705	IB009_RS23705	0.962	0.926	419.9	1.2	GENOMAD.194570.VP	Nucleoside 2-deoxyribosyltransferase	0.582	2.296e-30	121	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_IB009_RS23740	IB009_RS23740	0.952	0.952	195.1	1.2	GENOMAD.224688.VP	NA	0.705	2.701e-38	138	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_IB009_RS23860	IB009_RS23860	0.958	0.92	214.2	1	GENOMAD.224758.VP	Zn-binding Pro-Ala-Ala-Arg (PAAR) domain, incolved in TypeVI secretion	0.337	1.968e-10	58	phrog_281	PAAR motif of membran proteins	moron, auxiliary metabolic gene and host takeover	1.9e-31	0.538	NA	NA	NA
P1_2	P12_pers_IB009_RS23865	IB009_RS23865	0.96	0.96	568.8	1.1	GENOMAD.222938.VP	NA	0.264	7.8680000000000006e-11	65	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_JMW01_RS25275	JMW01_RS25275	0.963	0.897	224.6	1	GENOMAD.222727.VP	LydA holin phage, holin superfamily III	0.589	7.497e-34	126	phrog_1527	holin	lysis	3.1e-41	1	NA	NA	NA
P1_2	P12_pers_JMW01_RS25280	JMW01_RS25280	0.963	0.929	336.3	1	GENOMAD.224123.VP	LydA-holin antagonist	0.553	1.868e-42	153	phrog_1898	lysis determining protein	lysis	1e-70	0.959	NA	NA	NA
P1_2	P12_pers_JMW01_RS25785	JMW01_RS25785	1	0.962	361.1	1	GENOMAD.225841.VP	NA	0.942	4.024e-94	302	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_JMW01_RS25840	JMW01_RS25840	0.964	0.931	624.5	1	GENOMAD.223382.VP	T4 bacteriophage base plate protein	0.745	1.347e-132	420	phrog_1854	PmgB-like head morphogenesis	head and packaging	4.199999999999999e-134	0.989	NA	NA	NA
P1_2	P12_pers_SE14_RS24965	SE14_RS24965	0.964	0.964	1284.7	1.1	GENOMAD.206379.VP	NA	0.55	8.529e-191	604	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_SE14_RS25080	SE14_RS25080	0.957	0.917	1486.3	1	GENOMAD.223384.VP	Defence against restriction A N-terminal	0.371	1.296e-46	183	phrog_1620	Hdf-like antirestriction	moron, auxiliary metabolic gene and host takeover	5.2e-5	0.8	NA	NA	NA
P1_2	P12_pers_SE14_RS25125	SE14_RS25125	0.96	0.923	508	1.2	GENOMAD.207551.VP	Phage regulatory protein Rha	0.832	7.236e-129	407	phrog_63	anti-repressor Ant	transcription regulation	1.1e-50	0.515	NA	NA	NA
SSU5_pHCM2	SSU5_pers_AB183_RS00890	AB183_RS00890	0.982	0.24	519.6	1	GENOMAD.152072.VP	Phage minor tail protein L	0.549	1.898e-82	273	phrog_4199	minor tail protein	tail	7.1e-51	0.691	NA	NA	NA
SSU5_pHCM2	SSU5_pers_AB183_RS00945	AB183_RS00945	0.964	0.831	495.1	1	GENOMAD.218993.PV	cellulose synthase operon protein YhjQ	0.262	1.342e-5	48	NA	NA	NA	NA	NA	parA_big_nr_90_40_FAM16	3.8e-25	0.965
SSU5_pHCM2	SSU5_pers_AH83_RS23215	AH83_RS23215	0.982	0.279	189.4	1	GENOMAD.221585.VP	DNA-binding transcriptional regulator, PadR family	0.77	1.737e-39	141	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_AH83_RS23560	AH83_RS23560	1	0.982	210.2	1	GENOMAD.222687.VP	NA	0.982	7.932e-57	191	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_AH83_RS23730	AH83_RS23730	1	0.981	166	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_B1023_RS25275	B1023_RS25275	1	0.857	626.7	1	GENOMAD.222269.VP	NA	0.752	1.343e-135	429	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_B1023_RS25460	B1023_RS25460	0.982	0.23	698.4	1	NA	NA	NA	NA	NA	phrog_886	ABC transporter ATP-binding subunit	moron, auxiliary metabolic gene and host takeover	7.699999999999999e-168	1	NA	NA	NA
SSU5_pHCM2	SSU5_pers_CFSAN000624_RS24210	CFSAN000624_RS24210	1	0.6	599.1	1	GENOMAD.224271.VP	NA	0.809	4.074e-141	444	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_CUN65_RS23780	CUN65_RS23780	1	0.857	184.5	1.1	GENOMAD.160598.VC	RNA ligase, T4 RnlA family	0.424	5.638e-10	56	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_CUN65_RS23980	CUN65_RS23980	1	0.514	264.9	1.1	GENOMAD.171056.VP	Bacteriophage minor capsid protein	0.785	2.755e-61	206	phrog_10344	minor head protein	head and packaging	2.8e-5	0.562	NA	NA	NA
SSU5_pHCM2	SSU5_pers_CUN65_RS24320	CUN65_RS24320	0.965	0.414	448.1	1.1	GENOMAD.222271.VP	ASC-1 homology (ASCH) domain, predicted RNA-binding domain	0.925	9.185e-133	417	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_D0Z05_RS00480	D0Z05_RS00480	0.981	0.898	164.8	1	GENOMAD.220640.VP	NA	0.89	4.348e-38	136	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_D6T76_RS22020	D6T76_RS22020	1	0.887	184	1.1	GENOMAD.076236.VV	NA	0.295	2.431e-4	40	phrog_1026	Rz-like spanin	lysis	1.2e-26	0.941	NA	NA	NA
SSU5_pHCM2	SSU5_pers_DF208_RS24160	DF208_RS24160	0.964	0.283	1193	1	GENOMAD.152072.VP	Phage minor tail protein L	0.236	8.789e-38	153	phrog_9690	DNA helicase	DNA, RNA and nucleotide metabolism	1.8e-51	0.889	NA	NA	NA
SSU5_pHCM2	SSU5_pers_DF208_RS24335	DF208_RS24335	1	0.965	417.5	1	GENOMAD.148531.VC	Oligoribonuclease (3'-5' exoribonuclease)	0.204	1.586e-4	44	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_DF208_RS24340	DF208_RS24340	1	0.873	311.3	1	GENOMAD.223588.VP	NA	0.892	3.77e-80	261	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_DPF84_RS25105	DPF84_RS25105	1	0.982	817.5	1	GENOMAD.132605.PV	TrfA protein	0.51	8.762e-85	286	phrog_775	replication helicase	DNA, RNA and nucleotide metabolism	4.4e-150	0.986	Rep_3	5.4e-39	1.167
SSU5_pHCM2	SSU5_pers_DPF84_RS25485	DPF84_RS25485	0.982	0.297	1007.3	1	GENOMAD.124421.VP	NA	0.31	2.308e-51	191	phrog_10250	terminase large subunit	head and packaging	2.5e-68	0.943	NA	NA	NA
SSU5_pHCM2	SSU5_pers_DPF84_RS25655	DPF84_RS25655	1	0.746	1307.5	1	GENOMAD.222265.VP	NA	0.917	1.687e-87	303	phrog_6263	DNA methyltransferase	other	1.2e-301	1.024	NA	NA	NA
SSU5_pHCM2	SSU5_pers_EM861_RS23855	EM861_RS23855	0.965	0.284	341.1	1	GENOMAD.195646.VP	phage protein, HK97 gp10 family	0.665	6.876e-66	221	phrog_927	tail completion or Neck1 protein	connector	9.3e-79	0.935	NA	NA	NA
SSU5_pHCM2	SSU5_pers_FR760_RS24740	FR760_RS24740	1	0.245	1170.8	1	GENOMAD.168006.VP	NA	0.8	3.036e-134	438	phrog_145	portal protein	head and packaging	1.1e-145	1.018	NA	NA	NA
SSU5_pHCM2	SSU5_pers_FR760_RS25030	FR760_RS25030	1	0.981	381.7	1	GENOMAD.220898.VP	aminoglycoside N(6')-acetyltransferase, AacA4 family	0.933	3.64e-101	323	phrog_15387	acetyltransferase	other	4.599999999999999e-111	1	NA	NA	NA
SSU5_pHCM2	SSU5_pers_GMA21_RS22175	GMA21_RS22175	1	0.342	591.1	1.1	GENOMAD.179799.VP	NA	0.711	6.502e-125	398	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_GUY47_RS25145	GUY47_RS25145	0.965	0.714	162.3	1	GENOMAD.223441.VP	NA	0.888	8.631e-42	147	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_HDB52_RS23620	HDB52_RS23620	1	0.859	875.8	1	GENOMAD.030736.VV	Thymidylate synthase	0.35	6.754e-8	57	phrog_160	thymidylate synthase	DNA, RNA and nucleotide metabolism	2.1e-96	1.09	NA	NA	NA
SSU5_pHCM2	SSU5_pers_HDB52_RS23885	HDB52_RS23885	0.982	0.218	259.8	1.1	GENOMAD.171885.VP	NA	0.62	1.915e-56	193	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_HDB52_RS23925	HDB52_RS23925	1	0.586	3417.2	1	GENOMAD.178476.VP	NA	0.867	2.032e-265	865	phrog_1292	tail length tape measure protein	tail	0	1.002	NA	NA	NA
SSU5_pHCM2	SSU5_pers_HK406_RS24750	HK406_RS24750	1	0.529	152.7	1	GENOMAD.195585.VP	NA	0.585	5.602e-18	78	phrog_1130	membrane protein	moron, auxiliary metabolic gene and host takeover	8.599999999999999e-33	1	NA	NA	NA
SSU5_pHCM2	SSU5_pers_HK406_RS25090	HK406_RS25090	1	0.466	490.8	1	GENOMAD.171390.VP	ParB/RepB/Spo0J family partition protein	0.265	1.541e-5	48	phrog_723	ParB-like partition protein	DNA, RNA and nucleotide metabolism	2.1e-87	1.022	NA	NA	NA
SSU5_pHCM2	SSU5_pers_HK406_RS25255	HK406_RS25255	1	0.821	497.3	1	GENOMAD.182763.VC	Predicted ATPase	0.224	2.962e-8	56	phrog_2107	thymidylate kinase	other	2.4e-12	0.527	NA	NA	NA
SSU5_pHCM2	SSU5_pers_HV054_RS23225	HV054_RS23225	1	0.574	450.6	1.1	GENOMAD.143103.VP	Phage-related protein, tail component	0.322	6.009e-22	96	phrog_32	tail assembly protein	tail	3.7e-66	0.956	NA	NA	NA
SSU5_pHCM2	SSU5_pers_HV054_RS23380	HV054_RS23380	1	0.981	368.8	1	GENOMAD.223369.VP	NA	0.905	1.191e-94	304	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_HV054_RS23550	HV054_RS23550	1	0.547	1478.8	1	GENOMAD.176906.VP	rad50	0.158	1.961e-15	83	phrog_77	SbcC-like subunit of palindrome specific endonuclease	DNA, RNA and nucleotide metabolism	7.999999999999999e-171	0.659	NA	NA	NA
SSU5_pHCM2	SSU5_pers_HV084_RS25665	HV084_RS25665	1	0.98	363.1	1	GENOMAD.223217.VP	NA	0.862	4.295e-88	285	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_HV084_RS25830	HV084_RS25830	0.982	0.223	649.4	1	GENOMAD.208864.VP	Phage capsid-like protein	0.292	8.752e-41	155	phrog_212	major head protein	head and packaging	9.899999999999998e-111	0.967	NA	NA	NA
SSU5_pHCM2	SSU5_pers_HV084_RS25835	HV084_RS25835	0.982	0.337	631.5	1.1	GENOMAD.180474.VP	NA	0.952	1.244e-72	248	phrog_206	head scaffolding protein	head and packaging	2.8e-58	1.046	NA	NA	NA
SSU5_pHCM2	SSU5_pers_HV084_RS25995	HV084_RS25995	1	0.893	423.8	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_HV084_RS26000	HV084_RS26000	1	1	143.8	1	GENOMAD.066254.VV	NA	0.539	1.451e-14	68	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_HV147_RS26590	HV147_RS26590	0.982	0.294	440.8	1	GENOMAD.195594.VP	Transposase	0.65	7.585e-92	299	phrog_867	DNA binding domain	DNA, RNA and nucleotide metabolism	7.799999999999999e-111	0.968	NA	NA	NA
SSU5_pHCM2	SSU5_pers_HV229_RS25165	HV229_RS25165	1	0.981	289.8	1	GENOMAD.034966.VV	Bacteriophage P22, NinX	0.367	7.049e-17	78	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_HV229_RS25335	HV229_RS25335	1	0.591	845.4	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_HV229_RS25340	HV229_RS25340	0.965	0.264	910	1	GENOMAD.158918.VP	replicative DNA helicase	0.198	1.295e-18	92	phrog_19	DnaB-like replicative helicase	DNA, RNA and nucleotide metabolism	1.1e-88	0.702	NA	NA	NA
SSU5_pHCM2	SSU5_pers_HV237_RS25215	HV237_RS25215	1	0.567	1696.1	1	GENOMAD.222762.VP	Cobalamin biosynthesis protein CobT	0.145	1.423e-8	61	phrog_5298	cobalamin biosynthesis protein	moron, auxiliary metabolic gene and host takeover	1.5e-10	0.938	NA	NA	NA
SSU5_pHCM2	SSU5_pers_HV237_RS25335	HV237_RS25335	1	0.703	1033.3	1	GENOMAD.195648.VP	DNA ligase, ATP-dependent, PP_1105 family	0.89	6.971e-267	817	phrog_114	ATP-dependent DNA ligase	DNA, RNA and nucleotide metabolism	8.1e-127	0.692	NA	NA	NA
SSU5_pHCM2	SSU5_pers_HV269_RS27855	HV269_RS27855	1	0.982	856.5	1	GENOMAD.220361.VP	DNA repair exonuclease SbcCD nuclease subunit	0.981	1.505e-129	416	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_IFJ76_RS22120	IFJ76_RS22120	1	0.578	192.2	1.1	GENOMAD.223271.VP	NA	0.872	1.585e-54	185	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_IFJ76_RS22125	IFJ76_RS22125	1	0.624	169.7	1	GENOMAD.224443.VP	NA	0.91	3.932e-38	136	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_IT786_RS23650	IT786_RS23650	0.982	0.226	225.4	1	GENOMAD.212145.VP	NA	0.908	5.24e-60	201	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_IT786_RS23655	IT786_RS23655	0.982	0.256	492.5	1.1	GENOMAD.132619.VP	NA	0.505	1.755e-43	161	phrog_1280	Ig domain containing protein	other	1.3e-155	0.996	NA	NA	NA
SSU5_pHCM2	SSU5_pers_JLF39_RS24710	JLF39_RS24710	0.964	0.32	196	1.1	GENOMAD.224610.VP	NA	0.967	3.93e-57	192	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_JLF39_RS25205	JLF39_RS25205	1	0.568	443.7	1	GENOMAD.153294.VP	Holliday junction resolvasome RuvABC endonuclease subunit	0.666	5.142e-76	252	phrog_159	RuvC-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism	3.3e-61	0.561	NA	NA	NA
SSU5_pHCM2	SSU5_pers_JW296_RS01620	JW296_RS01620	1	0.859	292.2	1	GENOMAD.223376.VP	Phosphatidate phosphatase APP1, catalytic domain	0.933	1.402e-78	256	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_JW296_RS01780	JW296_RS01780	1	0.557	201.4	1	GENOMAD.224680.VP	NA	0.792	3.12e-43	152	phrog_4888	tail assembly chaperone	tail	4.7e-4	0.578	NA	NA	NA
SSU5_pHCM2	SSU5_pers_JW296_RS01945	JW296_RS01945	0.965	0.353	232.8	1	GENOMAD.219539.VP	NA	0.876	1.421e-58	197	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_JW296_RS02110	JW296_RS02110	1	0.556	986.3	1	GENOMAD.031026.VV	cobaltochelatase, CobS subunit	0.292	6.734e-11	67	phrog_249	porphyrin biosynthesis	moron, auxiliary metabolic gene and host takeover	8.899999999999999e-111	1.05	NA	NA	NA
SSU5_pHCM2	SSU5_pers_KOJKO3_RS29440	KOJKO3_RS29440	0.964	0.222	158.6	1.1	GENOMAD.220953.VP	NA	0.505	3.579e-17	76	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_LI66_RS23455	LI66_RS23455	1	0.538	293.9	1.1	NA	NA	NA	NA	NA	phrog_890	lipoprotein	other	4.6e-58	0.963	NA	NA	NA
SSU5_pHCM2	SSU5_pers_LI66_RS23625	LI66_RS23625	1	0.846	363.3	1	NA	NA	NA	NA	NA	phrog_316	dihydrofolate reductase	DNA, RNA and nucleotide metabolism	1.9e-52	0.728	NA	NA	NA
SSU5_pHCM2	SSU5_pers_LI66_RS23805	LI66_RS23805	1	0.964	286.4	1	NA	NA	NA	NA	NA	phrog_4583	transcriptional repressor	transcription regulation	1.6e-4	0.84	NA	NA	NA
SSU5_pHCM2	SSU5_pers_LI66_RS23980	LI66_RS23980	0.833	0.247	220.2	1	GENOMAD.224628.VP	NA	0.964	2.301e-58	197	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_LI66_RS24150	LI66_RS24150	0.982	0.296	477	1	GENOMAD.178051.VP	ParB/RepB/Spo0J family partition protein	0.252	3.672e-12	68	phrog_930	ParB-like partition protein	DNA, RNA and nucleotide metabolism	1.3e-117	0.996	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SA228140_RS24585	SA228140_RS24585	1	0.964	1874.6	1	GENOMAD.029837.VV	DnaA regulatory inactivator Hda	0.22	3.508e-51	199	phrog_84	ribonucleoside-diphosphate reductase large subunit	DNA, RNA and nucleotide metabolism	0	0.79	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SA228140_RS24935	SA228140_RS24935	1	0.346	596.5	1.1	GENOMAD.168265.VP	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif	0.359	7.587e-42	157	phrog_2635	tail protein	tail	4.7e-29	1.067	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM203125_RS24990	SM203125_RS24990	0.982	0.24	244.5	1	GENOMAD.180831.VP	Minor capsid protein	0.687	3.273e-45	159	phrog_763	head-tail adaptor	connector	4.1e-4	0.786	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM205186_RS24920	SM205186_RS24920	1	0.775	912.9	1	GENOMAD.030715.VV	Ribonucleotide reductase beta subunit, ferritin-like domain	0.269	5.568e-33	135	phrog_86	ribonucleoside diphosphate reductase small subunit	DNA, RNA and nucleotide metabolism	1.1e-147	0.748	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM205186_RS24925	SM205186_RS24925	1	0.873	676.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM211126_RS24775	SM211126_RS24775	0.981	0.815	368.5	1.1	GENOMAD.225764.VP	NA	0.743	3.007e-78	257	phrog_739	Rz-like spanin	lysis	7.2e-4	0.525	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM211126_RS24945	SM211126_RS24945	1	0.551	789.7	1	GENOMAD.106654.VP	gp32 DNA binding protein like	0.43	8.292e-69	239	phrog_1192	single strand DNA binding protein	DNA, RNA and nucleotide metabolism	3e-123	1.046	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM213147_RS25685	SM213147_RS25685	1	0.509	199.2	1	GENOMAD.224297.VP	NA	0.904	6.905e-49	168	NA	NA	NA	NA	NA	NA	NA	NA
